"Name","SizeGB","Path"
"DevEnv","0","D:\OneDrive\Dev\DevEnv"
"Development-Suite","0","D:\OneDrive\Dev\Development-Suite"
"Dev-GaYmR-PC","0","D:\OneDrive\Dev\Dev-GaYmR-PC"
"DeployForge","0","D:\OneDrive\Dev\DeployForge"
"Data-Management-Suite","0","D:\OneDrive\Dev\Data-Management-Suite"
"cs","0","D:\OneDrive\Dev\cs"
"Content-Creator-Suite","0","D:\OneDrive\Dev\Content-Creator-Suite"
"Community-Suite","0","D:\OneDrive\Dev\Community-Suite"
"Cloud-Integration-Suite","0","D:\OneDrive\Dev\Cloud-Integration-Suite"
"Cloud-Integration","0","D:\OneDrive\Dev\Cloud-Integration"
"Cloud-Hub","0","D:\OneDrive\Dev\Cloud-Hub"
"ChatGPT-Code","0","D:\OneDrive\Dev\ChatGPT-Code"
"bootstrapper","0","D:\OneDrive\Dev\bootstrapper"
"WindowsPowerShell","0","D:\OneDrive\Dev\WindowsPowerShell"
